NAME:INTPTLAT,INTPTLONG                                                                                                               
Cleveland County:33.893201,-92.188714                                                                                                                
Columbia County:33.223038,-93.232843                                                                                                                 
Conway County:35.265702,-92.689248                                                                                                                 
Craighead County:35.827729,-90.631421                                                                                                               
Crawford County:35.583011,-94.236219                                                                                                               
Crittenden County:35.211879,-90.315332                                                                                                             
Cross County:35.285692,-90.763984                                                                                                                   
Dallas County:33.967823,-92.653999                                                                                                                    
Desha County:33.828752,-91.244103                                                                                                                 
Drew County:33.587242,-91.722778                                                                                                                    
Faulkner County:35.146548,-92.336928                                                                                                               
Franklin County:35.508558,-93.887665                                                                                                               
Fulton County:36.383619,-91.819664                                                                                                                   
Garland County:34.578852,-93.146932                                                                                                               
Grant County:34.285568,-92.422979                                                                                                                    
Greene County:36.120607,-90.566346                                                                                                                   
Hempstead County:33.735953,-93.664355                                                                                                              
Hot Spring County:34.315177,-92.944147                                                                                                               
Howard County:34.083064,-93.990931                                                                                                                  
Independence County:35.737499,-91.559942                                                                                                            
Izard County:36.094879,-91.913625                                                                                                                    
Jackson County:35.596467,-91.223205                                                                                                                 
Jefferson County:34.277239,-91.929673                                                                                                              
Johnson County:35.573359,-93.466322                                                                                                                
Lafayette County:33.240629,-93.611514                                                                                                              
Lawrence County:36.041098,-91.101153                                                                                                                
Lee County:34.779505,-90.779717                                                                                                                    
Lincoln County:33.957675,-91.727626                                                                                                                
Little River County:33.699497,-94.229774                                                                                                            
Logan County:35.218654,-93.72091                                                                                                                   
Lonoke County:34.755114,-91.894132                                                                                                                  
Madison County:36.012545,-93.724053                                                                                                                  
Marion County:36.266664,-92.678577                                                                                                                
Miller County:33.305505,-93.901502                                                                                                                 
Mississippi County:35.766944,-90.052207                                                                                                            
Monroe County:34.679512,-91.20331                                                                                                                  
Montgomery County:34.545656,-93.664153                                                                                                               
Nevada County:33.666699,-93.305072                                                                                                                   
Newton County:35.910742,-93.215898                                                                                                                    
Ouachita County:33.591168,-92.878413                                                                                                                
Perry County:34.946363,-92.926877                                                                                                                   
Phillips County:34.423687,-90.855593                                                                                                               
Pike County:34.158191,-93.658659                                                                                                                   
